YEAR,Month,INCIDENT NAME,TOTAL VICTIMS,TOTAL VICTIMS,LOCATION,INJURED,INJURED,DEATH,DEATH,ATTACK TYPE,PERPETRATOR,TARGET
2020,jul,Murder of Noor Mukadam,Low,1,islamabad,Low,,Low,1,murder,Zahir Jaffer,Noor Mukadam
2020,aug,balochistan attacks,Low,10,balochistan,Low,6,Low,4,bombing, terrorist group,Security personnel 
2020,aug,quetta bombing,Low,24,quetta,Low,22,Low,2,,,Police van
2021,sep,quetta sucide attack,Low,24,quetta,Low,20,Low,4,bombing,tehreek e taliban,FC checkpost
2021,nov,nazim jokhio,Low,1,karachi,Low,0,Low,1,murder,,Nazim Jokhio
2021,nov,muhammad zada,Low,0,malakand,Low,,Low,,,,
2021,dec,priyantha kumara,Low,0,sialkot,Low,,Low,,,,
2021,jan,"kech district,Lahore bombing",Low,13,kech,Low,3,Low,10,militant attack,balochistan liberation front,Army security post
2021,feb,mushtaq ahmad,Low,0,mushtaq,Low,,Low,,,,
2021,mar,peshawar bombing,Medium,259,peshawar,Medium,196,Medium,63,suicide bombing,islamic state khorasan province,The Kucha Risaldar Shia Mosque
2021,mar,sibi,Low,0,sibi,Low,,Low,,,,
2021,mar,quetta bombing,Low,0,quetta,Low,,Low,,,,
2021,apr,karachi uni,Low,9,karachi,Low,4,Low,5,suicide bombing,balochistan liberation front,Chinese lecturers
2021,may,miranshah attack,Low,0,miranshah,Low,,Low,,,,
2021,aug,harnai balochistan,Low,0,harnai,Low,,Low,,,,
2021,jan,sarband police station attack,Low,3,peshawar,Low,0,Low,3,Grenade attack,pakistani Taliban,sarband police station
2021,jan,Peshawar Mosque Bombing,Medium,304,Peshawar,Medium,220,Medium,84,Suicide Bombing,jamat ul ahrar,police officers
2022,feb,Karachi Police Station Attack,Low,18,karachi,Low,14,Low,4,Grenade attack,pakistani Taliban,Police station
2022,feb,Barkhan Bombing,Low,18,Barkhan,Low,14,Low,4,Bombing,,Civillians
2022,mar,Bolan suicide Bombing,Low,22,Bolan ,Low,13,Low,9,Suicide bombing,tehreek jihad Pakistan,Police officers
2022,mar,Lakki Marwat terrorist Attack,Low,10,Lakki Marwat,Low,6,Low,4,militant attack,tehreek e taliban,Saddar Police station
2022,apr,Kechi District Attack,Low,4,Kech District,Low,0,Low,4,Terrorist Attack,,Pakistan security forces
2022,apr,Yar Husain grenade Attack ,Low,3,yar husain,Low,2,Low,1,Grenade attack,,police officials
2022,apr,Khyber Blast,Low,6,Khyber tribal district,Low,4,Low,2,improvised Explosive Device,,Security Forces
2022,apr,Kandhari Bazar bombing,Low,19,Quetta,Low,15,Low,4,bombing,,police vehicle
2023,may,Muslim Bagh attack,Low,25,Muslim Bagh,Low,12,Low,13,Mass shooting,,Frontier Corps Camp
2023,may,Zhob suicide Attack,Low,7,Zhob District,Low,6,Low,1,suicide attack,,Convoy of sirajul Haq 
2023,may,North waziristan Suicide Bombing,Low,4,North waziristan,Low,0,Low,4,Suicide bombing,Jaish Fursan Muhammad,security checkpoint
2023,Jul,Khar Bombing,Medium,263,Khar,Medium,200,Medium,63,suicide bombing,IS-KP,jamiat ulema e Islam
2023,aug,North waziristan Landmine Bombing,Low,13,North waziristan,Low,2,Low,11,Terrorist Attack,ISIL,Laborers
